"","team","opp","team_town","opp_town"
"40"," Central Michigan"," Central Michigan","Mount Pleasant, MI","Mount Pleasant, MI"
"41"," Charleston Southern"," Charleston Southern","Charleston, SC","Charleston, SC"
"42"," Charlotte"," Charlotte","Charlotte, NC","Charlotte, NC"
"43"," Chattanooga"," Chattanooga","Chattanooga, TN","Chattanooga, TN"
"44"," Cincinnati"," Cincinnati","Cincinnati, OH","Cincinnati, OH"
"45"," Clemson"," Clemson","Clemson, SC","Clemson, SC"
"46"," Cleveland State"," Cleveland State","Cleveland, OH","Cleveland, OH"
"47"," Coastal Carolina"," Coastal Carolina","Conway, SC","Conway, SC"
"48"," Colgate"," Colgate","Hamilton, NY","Hamilton, NY"
"49"," College of Charleston"," College of Charleston","Charleston, SC","Charleston, SC"
"50"," Colorado"," Colorado","Boulder, CO","Boulder, CO"
"51"," Colorado State"," Colorado State","Fort Collins, CO","Fort Collins, CO"
"52"," Coppin State"," Coppin State","Baltimore, MD","Baltimore, MD"
"53"," Cornell"," Cornell","Ithaca, NY","Ithaca, NY"
"54"," Creighton"," Creighton","Omaha, NE","Omaha, NE"
"55"," Davidson"," Davidson","Davidson, NC","Davidson, NC"
"56"," Dayton"," Dayton","Dayton, OH","Dayton, OH"
"57"," Delaware"," Delaware","Newark, DE","Newark, DE"
"58"," Delaware State"," Delaware State","Dover, DE","Dover, DE"
"59"," DePaul"," DePaul","Chicago, IL","Chicago, IL"
"60"," Detroit"," Detroit","Detroit, MI","Detroit, MI"
"61"," Drake"," Drake","Des Moines, IA","Des Moines, IA"
"62"," Drexel"," Drexel","Philadelphia, PA","Philadelphia, PA"
"63"," Duke"," Duke","Durham, NC","Durham, NC"
"64"," East Carolina"," East Carolina","Greenville, NC","Greenville, NC"
"65"," Eastern Illinois"," Eastern Illinois","Charleston, IL","Charleston, IL"
"66"," Eastern Kentucky"," Eastern Kentucky","Richmond, KY","Richmond, KY"
"67"," Eastern Michigan"," Eastern Michigan","Ypsilanti, MI","Ypsilanti, MI"
"68"," Eastern Washington"," Eastern Washington","Cheney, WA","Cheney, WA"
"69"," ETSU"," ETSU","Johnson City, TN","Johnson City, TN"
"70"," Evansville"," Evansville","Evansville, IN","Evansville, IN"
"71"," Fairfield"," Fairfield","Fairfield, CT","Fairfield, CT"
"72"," Fairleigh Dickinson"," Fairleigh Dickinson","Florham Park, NJ","Florham Park, NJ"
"73"," Florida"," Florida","Gainesville, FL","Gainesville, FL"
"74"," Florida A&M"," Florida A&M","Tallahassee, FL","Tallahassee, FL"
"75"," Florida Atlantic"," Florida Atlantic","Boca Raton, FL","Boca Raton, FL"
"76"," Florida Gulf Coast"," Florida Gulf Coast","Fort Myers, FL","Fort Myers, FL"
"77"," Florida International"," Florida International","Miami, FL","Miami, FL"
"78"," Florida State"," Florida State","Tallahassee, FL","Tallahassee, FL"
"79"," Fordham"," Fordham","Bronx, NY","Bronx, NY"
"80"," Fresno State"," Fresno State","Fresno, CA","Fresno, CA"
"81"," Gardner-Webb"," Gardner-Webb","Boiling Springs, NC","Boiling Springs, NC"
"82"," George Mason"," George Mason","Fairfax, VA","Fairfax, VA"
"83"," George Washington"," George Washington","Washington, DC","Washington, DC"
"84"," Georgetown"," Georgetown","Washington, DC","Washington, DC"
"85"," Georgia"," Georgia","Athens, GA","Athens, GA"
"86"," Georgia Southern"," Georgia Southern","Statesboro, GA","Statesboro, GA"
"87"," Georgia State"," Georgia State","Atlanta, GA","Atlanta, GA"
"88"," Georgia Tech"," Georgia Tech","Atlanta, GA","Atlanta, GA"
"89"," Gonzaga"," Gonzaga","Spokane, WA","Spokane, WA"
"90"," Grand Canyon"," Grand Canyon","Phoenix, AZ","Phoenix, AZ"
"91"," Green Bay"," Green Bay","Green Bay, WI","Green Bay, WI"
"92"," Hampton"," Hampton","Hampton, VA","Hampton, VA"
"93"," Hartford"," Hartford","West Hartford, CT","West Hartford, CT"
"94"," Harvard"," Harvard","Cambridge, MA","Cambridge, MA"
"95"," Hawaii"," Hawaii","Honolulu, HI","Honolulu, HI"
"96"," Hofstra"," Hofstra","Hempstead, NY","Hempstead, NY"
